Region,Year,Population,Violent crime3,"Rate per 
100,000","Murder and 
nonnegligent 
manslaughter","Rate per 
100,000","Rape
(revised definition)4","Rate per 
100,000","Rape
(legacy definition)5","Rate per 
100,000",Robbery,"Rate per 
100,000",Aggravated assault,"Rate per 
100,000",Property crime,"Rate per 
100,000",Burglary,"Rate per 
100,000",Larceny-theft,"Rate per 
100,000",Motor vehicle theft,"Rate per 
100,000"
United States Total,2015,320896618,1234183,384.6,15883,4.9,126134,39.3,91261,28.4,328109,102.2,764057,238.1,8024115,2500.5,1587564,494.7,5723488,1783.6,713063,222.2
,2016,323127513,1283058,397.1,17250,5.3,130603,40.4,95730,29.6,332198,102.8,803007,248.5,7919035,2450.7,1515096,468.9,5638455,1745,765484,236.9
Northeast,2015,56184737,180474,321.2,1967,3.5,16415,29.2,11912,21.2,56202,100,105890,188.5,951940,1694.3,157910,281.1,737087,1311.9,56943,101.3
,2016,56209510,178244,317.1,1955,3.5,16651,29.6,12219,21.7,53033,94.3,106605,189.7,909897,1618.8,142720,253.9,709721,1262.6,57456,102.2
New England,2015,14710229,42121,286.3,326,2.2,4602,31.3,3374,22.9,9629,65.5,27564,187.4,257073,1747.6,46260,314.5,193051,1312.4,17762,120.7
,2016,14735525,41598,282.3,292,2,4505,30.6,3328,22.6,9407,63.8,27394,185.9,243769,1654.3,42095,285.7,182985,1241.8,18689,126.8
     Connecticut,2015,3584730,7938,221.4,116,3.2,798,22.3,585,16.3,2925,81.6,4099,114.3,65610,1830.3,10286,286.9,48898,1364.1,6426,179.3
,2016,3576452,8123,227.1,78,2.2,763,21.3,561,15.7,2703,75.6,4579,128,64664,1808,10045,280.9,47512,1328.5,7107,198.7
     Maine,2015,1329453,1726,129.8,23,1.7,461,34.7,337,25.3,311,23.4,931,70,24361,1832.4,4694,353.1,18853,1418.1,814,61.2
,2016,1331479,1648,123.8,20,1.5,412,30.9,300,22.5,266,20,950,71.3,21912,1645.7,4003,300.6,17134,1286.8,775,58.2
     Massachusetts,2015,6784240,26453,389.9,131,1.9,2082,30.7,1538,22.7,5266,77.6,18974,279.7,114547,1688.4,21826,321.7,84676,1248.1,8045,118.6
,2016,6811779,25677,376.9,134,2,2128,31.2,1592,23.4,5365,78.8,18050,265,106339,1561.1,19193,281.8,79088,1161,8058,118.3
     New Hampshire,2015,1330111,2692,202.4,15,1.1,644,48.4,468,35.2,475,35.7,1558,117.1,23453,1763.2,3482,261.8,19076,1434.2,895,67.3
,2016,1334795,2637,197.6,17,1.3,582,43.6,423,31.7,427,32,1611,120.7,20194,1512.9,2963,222,16360,1225.7,871,65.3
     Rhode Island,2015,1055607,2565,243,31,2.9,467,44.2,342,32.4,547,51.8,1520,144,20038,1898.2,3938,373.1,14714,1393.9,1386,131.3
,2016,1056426,2524,238.9,29,2.7,442,41.8,328,31,540,51.1,1513,143.2,20058,1898.7,3788,358.6,14674,1389,1596,151.1
     Vermont,2015,626088,747,119.3,10,1.6,150,24,104,16.6,105,16.8,482,77,9064,1447.7,2034,324.9,6834,1091.5,196,31.3
,2016,624594,989,158.3,14,2.2,178,28.5,124,19.9,106,17,691,110.6,10602,1697.4,2103,336.7,8217,1315.6,282,45.1
Middle Atlantic,2015,41474508,138353,333.6,1641,4,11813,28.5,8538,20.6,46573,112.3,78326,188.9,694867,1675.4,111650,269.2,544036,1311.7,39181,94.5
,2016,41473985,136646,329.5,1663,4,12146,29.3,8891,21.4,43626,105.2,79211,191,666128,1606.1,100625,242.6,526736,1270,38767,93.5
     New Jersey,2015,8935421,22879,256,363,4.1,1373,15.4,1019,11.4,9729,108.9,11414,127.7,145701,1630.6,27960,312.9,105963,1185.9,11778,131.8
,2016,8944469,21914,245,372,4.2,1453,16.2,1089,12.2,8984,100.4,11105,124.2,138152,1544.6,25284,282.7,101540,1135.2,11328,126.6
     New York,2015,19747183,75126,380.4,613,3.1,6141,31.1,4414,22.4,23879,120.9,44493,225.3,317225,1606.4,44117,223.4,257837,1305.7,15271,77.3
,2016,19745289,74285,376.2,630,3.2,6260,31.7,4569,23.1,22316,113,45079,228.3,305181,1545.6,39821,201.7,250968,1271,14392,72.9
     Pennsylvania,2015,12791904,40348,315.4,665,5.2,4299,33.6,3105,24.3,12965,101.4,22419,175.3,231941,1813.2,39573,309.4,180236,1409,12132,94.8
,2016,12784227,40447,316.4,661,5.2,4433,34.7,3233,25.3,12326,96.4,23027,180.1,222795,1742.7,35520,277.8,174228,1362.8,13047,102.1
Midwest,2015,67838387,242893,358,3422,5,30827,45.4,22395,33,62201,91.7,146443,215.9,1555516,2293,307853,453.8,1125935,1659.7,121728,179.4
,2016,67941429,257109,378.4,3885,5.7,31408,46.2,23080,34,64022,94.2,157794,232.3,1544531,2273.3,300359,442.1,1112596,1637.6,131576,193.7
East North Central,2015,46742511,168762,361,2471,5.3,21268,45.5,15455,33.1,47806,102.3,97217,208,1037945,2220.6,211221,451.9,748309,1600.9,78415,167.8
